residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
1454,0.0024,163.56959,291.0,2.75,55.31,7.2
297,0.002,35.03097,298.0,2.64,53.41,7.3
1288,0.0025,138.09175,281.0,2.25,45.31,8.0
372,0.0019,43.43043,298.0,3.77,67.36,7.5
380,0.0019,43.95055000000001,298.0,3.72,66.93,4.6
122,0.00139,13.654280000000002,290.0,2.02,39.0,6.5
1372,0.0019,150.57239,298.0,2.41,48.88,5.6
842,0.0021000000000000003,94.32284,289.0,2.45,49.86,7.5
433,0.002,46.88965,298.0,3.12,61.0,7.5
408,0.0021000000000000003,44.006730000000005,293.0,2.87,57.2,4.6
522,0.0022,57.42939,290.0,2.77,55.52,7.5
723,0.002,82.40477,298.0,2.2,44.0,8.0
825,0.002,94.78013,290.0,3.1,60.35,5.7
825,0.002,94.78013,290.0,3.1,60.35,5.7
825,0.002,94.78013,290.0,3.1,60.35,5.7
933,0.002,107.5274,295.0,2.61,52.9,6.34
3091,0.0044,263.18534000000005,298.0,4.03,69.5,7.2
3091,0.0044,263.18534000000005,298.0,4.03,69.5,7.2
3091,0.0044,263.18534000000005,298.0,4.03,69.5,7.2
1704,0.0016,194.63106,295.0,2.61,52.88,6.4
242,0.002,28.510630000000003,293.0,2.15,42.92,6.0
1136,0.0024,124.44333999999999,298.0,4.03,69.48,7.5
298,0.0023,35.03598,298.0,2.68,54.16,7.3
1218,0.0032,141.29919,298.0,5.92,79.22,8.5
1218,0.0032,141.29919,298.0,5.92,79.22,8.5
1218,0.0032,141.29919,298.0,5.92,79.22,8.5
1218,0.0032,141.29919,298.0,5.92,79.22,8.5
1218,0.0032,141.29919,298.0,5.92,79.22,8.5
1428,0.0024,156.96811,290.0,2.47,50.29,5.0
308,0.0026000000000000003,37.83015,298.0,3.07,59.98,4.7
309,0.00175,33.86422,290.0,2.09,41.23,6.5
164,0.00191,18.726509999999998,298.0,2.79,55.91,6.5
658,0.0026000000000000003,75.63177,295.0,3.43,45.69,9.0
309,0.0022,33.855230000000006,290.0,2.35,47.55,10.0
657,0.00315,76.09218,295.0,3.64,66.18,9.0
539,0.0025,54.627900000000004,298.0,4.29,71.34,8.8
327,0.0022,39.2282,298.0,2.44,49.55,8.0
198,0.0015500000000000002,22.28236,297.0,1.97,37.65,5.6
259,0.0018000000000000002,29.80851,298.0,2.69,54.2,6.0
372,0.0023,41.96753,298.0,3.95,68.84,7.5
124,0.0022,14.44158,297.0,2.8,56.0,7.0
381,0.0013000000000000002,44.84878,298.0,1.87,43.01,3.0
506,0.0017,57.60339,293.0,1.96,37.12,8.7
280,0.0018000000000000002,29.93262,277.0,2.0,38.65,4.9
717,0.0024,79.04473,295.0,2.39,48.44,7.1
252,0.0016,29.289849999999998,277.0,2.0,35.0,7.0
1428,0.00265,156.90384,291.0,2.47,50.3,5.0
660,0.0025,70.89247999999999,291.0,4.0,69.22,8.5
136,0.0025,15.304870000000001,277.0,2.1,63.5,7.4
456,0.002,51.51008,293.0,2.55,51.76,6.5
389,0.0022500000000000003,46.446419999999996,298.0,2.42,49.24,4.7
1624,0.0023,170.73702,293.0,2.66,53.73,7.4
338,0.0016,38.30988,293.0,2.15,42.88,5.0
748,0.0020099999999999996,86.32611,277.0,3.0,64.79,7.5
117,0.0019,13.33294,293.0,1.82,32.46,8.0
117,0.0019,13.33294,293.0,1.82,32.46,8.0
120,0.0017,13.82722,293.0,2.11,41.59,7.4
2208,0.003,260.17234,288.0,2.93,57.99,8.0
992,0.0022,110.24855000000001,293.0,2.32,46.89,6.75
578,0.0024,63.26381,277.0,2.55,51.83,8.5
108,0.0024,12.31571,277.0,3.37,63.45,4.8
1419,0.0027,154.73995000000002,293.0,2.8,56.09,6.5
1419,0.0027,154.73995000000002,293.0,2.8,56.09,6.5
1419,0.0027,154.73995000000002,293.0,2.8,56.09,6.5
233,0.0015500000000000002,26.19926,298.0,2.16,43.16,5.0
554,0.0017,62.36919,292.0,2.75,55.0,4.5
474,0.0022,52.817750000000004,277.0,2.93,57.99,8.0
474,0.0022,52.817750000000004,277.0,2.93,57.99,8.0
884,0.0026000000000000003,101.29902000000001,298.0,3.03,59.34,6.25
884,0.0026000000000000003,101.29902000000001,298.0,3.03,59.34,6.25
846,0.00235,100.05202000000001,277.0,3.82,67.78,5.3
68,0.00145,7.8797500000000005,293.0,2.04,39.81,5.6
159,0.0017,19.325290000000003,277.0,3.05,59.64,4.5
454,0.002,51.00389,323.0,2.32,46.96,8.3
986,0.0029,109.20376,298.0,2.3,46.6,7.5
1668,0.0024,184.6085,293.0,3.39,63.68,7.2
444,0.0026000000000000003,51.14449,295.0,2.83,56.52,7.0
354,0.0026000000000000003,41.98271,298.0,4.74,74.04,7.0
788,0.0025,87.67599000000001,298.0,2.49,51.0,5.75
592,0.0018000000000000002,68.00359,293.0,2.68,54.02,6.0
1992,0.0022,230.81055,298.0,2.93,58.06,8.0
1988,0.0015,230.69841,298.0,3.05,59.72,8.0
907,0.0028,99.19386,298.0,3.2,61.54,7.6
917,0.0028,103.86667,298.0,3.06,59.76,6.5
363,0.0018000000000000002,38.811879999999995,295.0,2.41,49.0,8.5
600,0.0028,69.88388,277.0,5.48,77.56,8.0
130,0.0018000000000000002,14.643540000000002,283.0,1.97,37.45,4.5
128,0.002,14.615549999999999,283.0,1.81,32.02,4.5
129,0.0022,14.58649,283.0,1.96,37.34,4.5
195,0.00145,21.48846,295.0,1.9,35.0,9.0
298,0.0022,34.2738,293.0,2.14,42.53,7.5
360,0.0026000000000000003,41.6706,293.0,2.94,58.21,7.5
1202,0.0025,136.11019000000002,298.0,2.55,51.69,7.0
1202,0.0025,136.11019000000002,298.0,2.55,51.69,7.0
441,0.002,50.699110000000005,295.0,2.88,57.22,7.0
208,0.00165,22.91219,293.0,2.09,41.27,5.0
553,0.003,67.68538000000001,293.0,4.1,69.0,6.5
528,0.0015,59.51864,298.0,2.2,43.96,6.5
291,0.00193,33.75631,291.0,2.62,53.04,6.0
886,0.0029,96.6589,298.0,4.19,70.63,4.5
884,0.003,96.47266,298.0,2.76,55.38,5.6
192,0.0016,22.293419999999998,297.0,2.02,39.11,5.1
192,0.0016,22.293419999999998,297.0,2.02,39.11,5.1
534,0.002,58.51729,298.0,2.18,43.57,4.0
384,0.002,42.17387,289.0,1.0,49.39,8.5
414,0.002,46.42643,291.0,2.37,48.18,7.0
1458,0.0022,165.68242,295.0,2.71,54.66,6.5
660,0.002,71.1183,291.0,2.59,52.44,6.4
660,0.0019,71.14636,291.0,2.59,52.54,6.4
1458,0.0022,165.6183,295.0,2.71,54.62,6.5
515,0.0013000000000000002,60.581120000000006,298.0,2.2,46.0,7.5
128,0.0012,14.47055,298.0,1.89,34.84,4.5
776,0.0021000000000000003,88.18155,293.0,2.93,58.07,7.5
376,0.00177,39.81025,293.0,2.22,44.72,8.0
504,0.0026000000000000003,57.80607,298.0,3.06,59.81,7.2
644,0.0028,77.05172,288.0,3.0,58.72,5.0
292,0.00202,31.458540000000003,292.3,2.55,51.68,8.0
147,0.00157,17.985200000000003,277.0,2.34,47.42,4.25
632,0.0021000000000000003,68.75978,291.0,2.45,49.81,8.0
1484,0.0016,161.65836,298.0,2.43,49.45,4.4
820,0.0023,89.46730000000001,273.0,2.48,50.45,4.5
410,0.0022500000000000003,44.96427,298.0,2.64,53.42,6.6
410,0.00228,46.159,298.0,2.68,54.08,6.6
634,0.0023,70.2047,298.0,2.98,58.67,7.5
476,0.00265,51.72307,277.0,2.23,44.8,5.5
511,0.0015400000000000001,61.09216000000001,293.0,2.94,58.15,5.6
634,0.0018000000000000002,75.01673,293.0,2.57,51.7,4.5
221,0.00235,24.18392,298.0,2.48,50.43,6.5
221,0.00235,24.18392,298.0,2.48,50.43,6.5
68,0.002,7.86478,293.0,2.03,39.42,4.6
596,0.0021000000000000003,67.39712,298.0,2.07,40.68,6.0
838,0.0019,90.78198,292.0,3.15,60.95,6.5
402,0.00231,47.30129,298.0,2.54,51.66,7.8
402,0.0018000000000000002,47.33126,298.0,2.57,52.09,7.8
496,0.00214,51.887730000000005,298.0,4.18,70.59,6.5
496,0.00214,51.887730000000005,298.0,4.18,70.59,6.5
441,0.0018000000000000002,51.18759,295.0,2.88,57.26,7.0
622,0.002,70.1537,277.0,2.8,56.11,7.5
1416,0.0033,153.27227,293.0,3.97,69.01,4.8
1556,0.0022500000000000003,162.07273,294.0,3.15,60.95,5.0
1264,0.0025,140.10960999999998,294.0,2.91,57.68,5.0
1264,0.0025,140.10960999999998,294.0,2.91,57.68,5.0
298,0.0021000000000000003,34.54889,278.0,2.0,45.0,7.4
1890,0.00193,210.58809,277.0,2.52,51.13,5.6
225,0.0017,25.883020000000002,298.0,2.28,45.97,3.8
131,0.0019,14.5325,295.0,2.21,44.37,4.6
131,0.0020499999999999997,14.5165,295.0,2.25,45.39,4.6
131,0.00215,14.5325,295.0,2.22,44.66,4.6
696,0.0021000000000000003,80.89014,298.0,2.37,48.09,7.5
307,0.002,35.89448,277.0,3.13,60.74,6.8
894,0.00228,96.87162,277.0,3.13,60.65,7.5
894,0.00228,96.87162,277.0,3.13,60.65,7.5
442,0.0027,53.31767,298.0,2.71,54.53,6.0
442,0.0027,53.31767,298.0,2.71,54.53,6.0
199,0.0018000000000000002,23.9905,298.0,2.77,55.2,7.0
2652,0.003,299.4405,291.0,3.18,61.27,6.5
616,0.00275,65.42987000000001,298.0,2.62,53.08,6.5
248,0.002,28.80007,295.0,2.18,43.57,8.0
2256,0.0022,261.45191,277.0,2.83,56.52,6.5
410,0.0026000000000000003,46.65444,291.0,2.82,56.43,7.4
410,0.0026000000000000003,46.65444,291.0,2.82,56.43,7.4
1612,0.0021000000000000003,181.693,291.0,2.35,47.6,5.0
566,0.0021000000000000003,62.19649,277.0,3.56,65.41,7.0
306,0.0017,36.21114,295.0,2.47,50.21,6.5
306,0.0017,36.21114,295.0,2.47,50.21,6.5
181,0.003,19.87595,295.0,5.33,76.91,8.9
237,0.0018000000000000002,26.361340000000002,295.0,2.0,38.6,7.0
237,0.0018000000000000002,26.361340000000002,295.0,2.0,38.6,7.0
309,0.0018000000000000002,35.33142,298.0,2.05,39.95,7.4
4092,0.0017,475.62462,288.0,2.7,55.0,6.5
293,0.0020099999999999996,33.18968,293.0,2.37,48.09,7.0
397,0.0022,45.204570000000004,298.0,3.21,61.63,5.6
397,0.0022,45.204570000000004,298.0,3.21,61.63,5.6
362,0.0018000000000000002,41.77568,298.0,3.5,64.82,5.6
118,0.0024500000000000004,12.96848,281.0,2.5,50.87,8.5
698,0.0028,74.32898,298.0,2.3,46.2,4.8
237,0.0017,25.622380000000003,293.0,2.38,48.38,7.0
454,0.0021000000000000003,53.225860000000004,293.0,2.73,54.97,6.5
443,0.0021000000000000003,47.846050000000005,291.0,1.99,38.25,8.5
443,0.0021000000000000003,47.846050000000005,291.0,1.99,38.25,8.5
